unit_id,donation_id,component_type,expiry_date,status,current_facility_id
1,998,Whole Blood,2026-04-06,Reserved,32
2,86,Whole Blood,2026-03-05,Available,12
3,514,Platelets,2026-04-28,Transfused,13
4,849,Whole Blood,2026-12-26,Transfused,20
5,390,Platelets,2026-08-27,Transfused,35
6,630,Plasma,2026-07-09,Transfused,41
7,533,Platelets,2026-05-15,Available,10
8,71,Plasma,2026-05-08,Transfused,10
9,687,Platelets,2026-06-25,Reserved,41
10,890,Whole Blood,2027-01-30,Expired,13
11,295,Platelets,2026-08-31,Available,36
12,176,Whole Blood,2026-11-09,Transfused,48
13,199,Whole Blood,2026-09-16,Expired,27
14,292,Whole Blood,2026-10-17,Available,21
15,956,Platelets,2026-05-02,Available,44
16,758,Plasma,2026-03-18,Reserved,44
17,732,Whole Blood,2026-10-04,Available,44
18,106,Plasma,2026-08-29,Available,40
19,767,Platelets,2026-11-20,Available,30
20,777,Plasma,2027-01-09,Transfused,27
21,801,Platelets,2026-07-20,Available,8
22,493,Plasma,2026-08-14,Discarded,35
23,252,Plasma,2026-11-19,Transfused,21
24,279,Whole Blood,2026-06-27,Transfused,50
25,916,Platelets,2026-07-20,Transfused,27
26,88,Platelets,2026-08-01,Discarded,30
27,31,Platelets,2026-11-01,Transfused,40
28,361,Platelets,2027-02-24,Discarded,30
29,996,Plasma,2026-10-13,Transfused,3
30,756,Whole Blood,2026-05-16,Available,11
31,362,Whole Blood,2026-12-31,Transfused,5
32,118,Platelets,2027-01-31,Available,46
33,939,Plasma,2026-08-29,Discarded,35
34,339,Platelets,2026-11-23,Available,10
35,582,Whole Blood,2026-04-14,Available,24
36,689,Platelets,2026-04-29,Transfused,34
37,765,Platelets,2026-03-27,Transfused,1
38,242,Plasma,2026-09-27,Available,7
39,559,Whole Blood,2026-12-20,Transfused,32
40,42,Platelets,2026-04-12,Available,10
41,806,Plasma,2026-11-07,Transfused,16
42,466,Platelets,2026-07-01,Expired,8
43,310,Plasma,2026-08-06,Transfused,7
44,299,Whole Blood,2026-05-14,Available,35
45,467,Whole Blood,2026-05-15,Available,5
46,628,Whole Blood,2026-05-08,Available,8
47,179,Platelets,2026-10-02,Available,30
48,808,Whole Blood,2027-01-09,Transfused,24
49,86,Whole Blood,2026-04-02,Transfused,49
50,92,Platelets,2026-10-24,Reserved,26
51,333,Plasma,2026-07-13,Available,22
52,161,Whole Blood,2026-03-04,Available,17
53,113,Plasma,2026-06-15,Available,50
54,60,Platelets,2026-07-23,Transfused,4
55,361,Plasma,2026-07-02,Discarded,10
56,293,Whole Blood,2026-06-12,Available,24
57,572,Whole Blood,2026-10-20,Transfused,50
58,271,Platelets,2027-02-04,Transfused,24
59,907,Platelets,2026-12-04,Available,29
60,225,Plasma,2026-06-01,Available,10
61,204,Plasma,2026-08-26,Expired,24
62,906,Whole Blood,2026-11-11,Available,3
63,621,Whole Blood,2026-04-04,Transfused,42
64,826,Platelets,2026-08-23,Transfused,3
65,126,Whole Blood,2026-10-30,Transfused,10
66,832,Platelets,2026-12-29,Transfused,13
67,270,Plasma,2027-01-12,Available,50
68,489,Plasma,2026-10-11,Transfused,34
69,978,Whole Blood,2026-06-05,Expired,25
70,437,Plasma,2026-08-29,Expired,12
71,6,Whole Blood,2026-07-06,Available,45
72,484,Plasma,2026-07-30,Transfused,16
73,637,Platelets,2027-01-16,Transfused,4
74,352,Platelets,2026-03-30,Available,42
75,879,Plasma,2027-01-01,Transfused,35
76,654,Whole Blood,2026-04-26,Available,27
77,684,Plasma,2026-04-18,Discarded,19
78,845,Plasma,2027-02-24,Transfused,13
79,553,Plasma,2026-06-30,Transfused,5
80,957,Plasma,2026-04-18,Transfused,46
81,883,Platelets,2026-11-04,Transfused,49
82,797,Whole Blood,2026-07-06,Discarded,36
83,295,Whole Blood,2026-03-28,Available,11
84,902,Platelets,2026-03-19,Transfused,32
85,773,Whole Blood,2026-09-25,Available,1
86,151,Platelets,2027-01-06,Transfused,1
87,778,Platelets,2026-11-13,Discarded,44
88,940,Whole Blood,2026-04-10,Expired,25
89,583,Plasma,2027-02-21,Transfused,15
90,993,Plasma,2026-09-29,Transfused,12
91,914,Whole Blood,2026-12-16,Available,21
92,521,Plasma,2026-10-07,Transfused,32
93,426,Whole Blood,2027-01-17,Transfused,28
94,829,Platelets,2026-10-17,Available,37
95,307,Whole Blood,2026-09-27,Available,13
96,882,Plasma,2026-12-23,Available,38
97,800,Plasma,2027-01-20,Transfused,47
98,613,Whole Blood,2026-07-19,Available,21
99,687,Platelets,2026-09-22,Transfused,5
100,114,Plasma,2027-01-17,Transfused,43
101,990,Plasma,2026-10-30,Transfused,46
102,306,Platelets,2026-06-18,Available,22
103,814,Plasma,2026-08-30,Available,15
104,891,Whole Blood,2026-03-07,Available,3
105,300,Platelets,2026-10-03,Transfused,33
106,342,Platelets,2026-09-13,Transfused,15
107,379,Plasma,2026-03-06,Available,4
108,471,Whole Blood,2026-11-14,Available,25
109,641,Plasma,2026-10-12,Transfused,7
110,540,Plasma,2026-10-05,Transfused,33
111,36,Plasma,2026-05-30,Available,9
112,1000,Platelets,2026-10-17,Reserved,11
113,290,Plasma,2026-03-09,Transfused,30
114,169,Plasma,2026-06-30,Expired,16
115,508,Platelets,2026-03-12,Expired,36
116,531,Plasma,2026-05-27,Available,19
117,174,Platelets,2026-09-17,Expired,41
118,889,Plasma,2026-07-11,Transfused,27
119,335,Plasma,2027-01-30,Reserved,24
120,729,Whole Blood,2026-09-10,Transfused,34
121,985,Whole Blood,2026-12-26,Available,32
122,47,Whole Blood,2026-04-13,Transfused,23
123,273,Plasma,2027-01-10,Available,48
124,19,Whole Blood,2026-04-29,Transfused,3
125,183,Platelets,2026-04-30,Transfused,26
126,424,Platelets,2026-02-28,Reserved,39
127,643,Whole Blood,2026-05-06,Available,9
128,614,Platelets,2026-10-10,Transfused,8
129,321,Plasma,2026-04-14,Reserved,42
130,532,Whole Blood,2027-02-19,Available,39
131,969,Whole Blood,2026-12-08,Discarded,42
132,816,Whole Blood,2027-01-16,Available,41
133,686,Plasma,2026-10-05,Reserved,46
134,161,Plasma,2026-03-09,Available,46
135,577,Plasma,2026-03-20,Reserved,13
136,999,Platelets,2026-03-01,Transfused,28
137,685,Whole Blood,2026-04-19,Available,17
138,566,Whole Blood,2026-12-01,Discarded,35
139,210,Plasma,2026-07-02,Transfused,21
140,88,Whole Blood,2026-12-30,Reserved,23
141,331,Platelets,2026-06-11,Reserved,46
142,276,Plasma,2026-03-11,Available,33
143,52,Whole Blood,2026-12-31,Transfused,21
144,616,Platelets,2026-06-14,Transfused,23
145,102,Platelets,2026-06-17,Transfused,13
146,446,Platelets,2026-07-23,Available,20
147,110,Whole Blood,2026-08-09,Transfused,13
148,370,Plasma,2026-11-12,Transfused,40
149,692,Plasma,2026-08-18,Discarded,41
150,855,Whole Blood,2026-06-05,Discarded,7
151,37,Platelets,2026-12-20,Discarded,50
152,560,Whole Blood,2026-12-14,Available,7
153,393,Whole Blood,2027-02-07,Transfused,31
154,506,Platelets,2027-02-04,Available,10
