facility_id,facility_name,facility_type,location_id
1,Y-find,Blood Bank,7
2,Span,Blood Bank,20
3,Job,Hospital,15
4,Lotstring,Hospital,11
5,Daltfresh,Hospital,8
6,Aerified,Hospital,7
7,Veribet,Mobile Drive,19
8,Regrant,Blood Bank,11
9,Cookley,Hospital,11
10,Ronstring,Hospital,4
11,Cardify,Hospital,8
12,Redhold,Hospital,3
13,Domainer,Blood Bank,2
14,Redhold,Hospital,12
15,Voyatouch,Blood Bank,6
16,Fixflex,Blood Bank,2
17,Home Ing,Mobile Drive,1
18,Zoolab,Mobile Drive,12
19,Daltfresh,Blood Bank,12
20,Bigtax,Hospital,17
21,Sonair,Hospital,10
22,Toughjoyfax,Mobile Drive,16
23,Konklux,Hospital,15
24,Kanlam,Hospital,15
25,Aerified,Hospital,19
26,Subin,Hospital,12
27,Redhold,Hospital,20
28,Quo Lux,Hospital,3
29,Tres-Zap,Hospital,5
30,Alphazap,Blood Bank,19
31,Job,Hospital,7
32,Temp,Hospital,9
33,Alpha,Mobile Drive,7
34,Aerified,Mobile Drive,18
35,Voltsillam,Blood Bank,4
36,Flexidy,Hospital,14
37,Domainer,Blood Bank,18
38,Transcof,Blood Bank,9
39,Tresom,Hospital,2
40,Tresom,Hospital,20
41,Sonair,Hospital,15
42,Bamity,Hospital,7
43,Biodex,Mobile Drive,12
44,Sub-Ex,Hospital,8
45,Redhold,Blood Bank,15
46,Stringtough,Hospital,3
47,Bytecard,Blood Bank,14
48,Konklux,Hospital,17
49,Aerified,Hospital,4
50,Bigtax,Mobile Drive,18
