city_name,latitude,longitude,location_id
Almaty,43.2389,76.8897,1
Astana,51.1694,71.4491,2
Shymkent,42.3417,69.5901,3
Karaganda,49.8019,73.1021,4
Aktobe,50.2839,57.167,5
Taraz,42.9026,71.3656,6
Pavlodar,52.2833,76.9667,7
Ust-Kamenogorsk,49.9483,82.6279,8
Semey,50.4111,80.2275,9
Atyrau,47.0945,51.9238,10
Kostanay,53.2198,63.6285,11
Kyzylorda,44.8486,65.4822,12
Uralsk,51.2333,51.3667,13
Petropavl,54.8833,69.15,14
Aktau,43.65,51.15,15
Temirtau,50.0667,72.9667,16
Turkestan,43.3,68.25,17
Kokshetau,53.2833,69.4,18
Taldykorgan,45.0167,78.3667,19
Ekibastuz,51.7167,75.3167,20
