dispatch_id,request_id,unit_id,dispatch_date,distance_km,status
1,80,843,2026-02-25,79.57,Arrived
2,179,915,2026-02-25,44.23,Arrived
3,561,914,2026-02-25,98.69,In Transit
4,308,502,2026-02-25,129.36,Arrived
5,621,669,2026-02-25,102.97,In Transit
6,500,72,2026-02-25,118.6,Arrived
7,796,722,2026-02-25,44.13,In Transit
8,493,546,2026-02-25,59.62,Arrived
9,661,866,2026-02-25,145.95,In Transit
10,506,126,2026-02-25,17.78,In Transit
11,350,434,2026-02-25,71.98,Arrived
12,546,554,2026-02-25,147.18,Arrived
13,630,807,2026-02-25,136.53,In Transit
14,137,353,2026-02-25,55.41,Arrived
15,343,112,2026-02-25,121.66,Arrived
16,55,484,2026-02-25,146.23,Arrived
17,179,176,2026-02-25,86.03,Arrived
18,170,508,2026-02-25,28.89,Arrived
19,208,969,2026-02-25,27.11,In Transit
20,362,253,2026-02-25,21.41,Arrived
21,744,100,2026-02-25,70.88,Arrived
22,127,213,2026-02-25,74.49,Arrived
23,720,217,2026-02-25,127.67,Arrived
24,365,186,2026-02-25,77.64,In Transit
25,225,365,2026-02-25,146.46,Arrived
26,604,190,2026-02-25,95.34,Arrived
27,233,479,2026-02-25,62.92,Arrived
28,249,255,2026-02-25,113.17,Arrived
29,410,624,2026-02-25,72.29,In Transit
30,727,595,2026-02-25,86.12,Arrived
31,134,55,2026-02-25,45.9,Arrived
32,780,210,2026-02-25,132.99,Arrived
33,628,433,2026-02-25,79.87,Arrived
34,181,991,2026-02-25,0.91,In Transit
35,120,290,2026-02-25,99.59,Arrived
36,145,888,2026-02-25,66.79,Arrived
37,535,233,2026-02-25,49.72,Arrived
38,277,85,2026-02-25,93.79,Arrived
39,47,349,2026-02-25,55.52,In Transit
40,742,159,2026-02-25,148.55,Arrived
41,219,557,2026-02-25,70.05,Arrived
42,349,735,2026-02-25,6.45,Arrived
43,333,641,2026-02-25,39.11,Arrived
44,448,590,2026-02-25,104.49,Arrived
45,790,549,2026-02-25,42.86,Arrived
46,185,819,2026-02-25,58.49,Arrived
47,580,474,2026-02-25,54.29,Arrived
48,618,931,2026-02-25,115.65,Arrived
49,703,630,2026-02-25,149.41,Arrived
50,45,38,2026-02-25,108.53,Arrived
51,186,30,2026-02-25,105.26,Arrived
52,83,229,2026-02-25,99.11,Arrived
53,205,660,2026-02-25,123.06,In Transit
54,662,49,2026-02-25,11.37,In Transit
55,70,878,2026-02-25,16.44,In Transit
56,207,699,2026-02-25,35.55,Arrived
57,114,514,2026-02-25,15.03,Arrived
58,74,549,2026-02-25,109.87,Arrived
59,565,219,2026-02-25,56.37,Arrived
60,197,764,2026-02-25,116.49,Arrived
61,478,113,2026-02-25,53.67,Arrived
62,409,263,2026-02-25,58.53,Arrived
63,319,528,2026-02-25,37.11,Arrived
64,428,628,2026-02-25,108.66,Arrived
65,578,583,2026-02-25,104.38,In Transit
66,498,393,2026-02-25,136.73,Arrived
67,47,377,2026-02-25,45.53,In Transit
68,777,363,2026-02-25,107.47,In Transit
69,252,578,2026-02-25,139.06,Arrived
70,503,494,2026-02-25,72.2,Arrived
71,117,988,2026-02-25,41.36,Arrived
72,755,193,2026-02-25,4.12,Arrived
73,744,473,2026-02-25,23.1,Arrived
74,445,129,2026-02-25,46.08,Arrived
75,324,224,2026-02-25,95.5,Arrived
76,692,697,2026-02-25,39.25,Arrived
77,629,925,2026-02-25,18.57,Arrived
78,736,861,2026-02-25,145.11,In Transit
79,223,869,2026-02-25,144.6,In Transit
80,375,340,2026-02-25,119.9,Arrived
81,233,284,2026-02-25,68.25,Arrived
