transfer_id,unit_id,from_facility_id,to_facility_id,transfer_date
1,901,22,42,2025-07-07
2,558,46,3,2025-12-03
3,656,8,6,2025-09-08
4,152,5,8,2026-01-18
5,920,50,24,2025-12-11
6,339,33,9,2025-10-20
7,704,3,47,2025-09-04
8,40,46,38,2025-08-21
9,531,47,28,2025-08-14
10,996,11,14,2025-07-01
11,617,21,12,2025-06-02
12,889,1,7,2025-04-17
13,692,31,45,2026-02-21
14,885,23,20,2025-07-14
15,641,9,44,2025-11-25
16,773,50,39,2025-07-01
17,945,33,36,2025-09-02
18,204,5,27,2025-07-04
19,858,34,29,2025-12-18
20,546,35,19,2025-03-14
21,61,50,49,2025-06-02
22,223,2,14,2025-10-30
23,904,28,23,2025-05-31
24,612,47,43,2025-03-21
25,364,2,4,2025-03-02
26,414,39,14,2025-04-19
27,917,47,15,2026-02-01
28,358,30,48,2025-05-20
29,625,25,48,2025-10-08
30,484,32,16,2025-10-19
31,65,18,22,2025-09-19
32,602,3,42,2025-12-22
33,848,36,4,2025-12-17
34,590,42,2,2025-10-10
35,457,49,10,2025-05-31
36,60,8,36,2025-07-15
37,474,22,20,2025-10-11
38,51,42,9,2025-06-30
39,962,14,28,2025-03-29
40,294,20,50,2025-11-12
41,827,40,40,2025-07-26
42,101,37,3,2025-07-23
43,52,14,50,2025-10-16
44,837,28,38,2025-11-17
45,685,1,33,2026-02-12
46,861,13,34,2026-01-31
47,189,32,9,2025-09-27
48,314,9,2,2025-10-03
49,663,2,40,2025-05-01
50,539,35,50,2025-05-22
51,995,47,43,2025-03-03
52,687,32,25,2025-05-30
53,858,20,49,2026-02-06
54,624,49,10,2025-11-23
55,686,34,38,2025-12-02
56,470,47,8,2026-01-07
57,644,13,13,2025-11-05
58,394,21,40,2025-06-20
59,42,28,42,2025-10-21
60,856,20,6,2025-03-14
61,757,26,26,2026-01-22
62,401,49,27,2026-01-12
63,588,33,12,2025-07-10
64,162,6,41,2025-10-17
65,605,3,8,2025-11-10
66,835,43,1,2026-01-06
67,744,11,48,2025-06-19
68,8,3,19,2025-07-30
69,422,30,7,2025-09-27
70,361,35,11,2025-03-10
71,396,9,26,2025-08-14
72,31,20,43,2025-05-30
73,830,18,38,2025-08-24
74,916,9,15,2026-01-15
75,514,6,16,2026-01-02
76,58,19,11,2025-04-02
77,624,4,38,2026-02-22
78,54,34,47,2026-01-21
79,112,48,14,2026-01-29
